Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Limited FWD,Ruby Flare Pearl,47860,0.0,47860.0,At dealer,False,,5TDAAAA50RS001581,Mount Airy Toyota,NC
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,At dealer,False,,5TDAAAA50RS001998,Toyota of Poway,CA
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,Factory to port,False,Available,5TDAAAA50RS002438,AutoNation Toyota Winter Park,FL
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS002455,Findlay Toyota Prescott,AZ
2024,Limited FWD,Blueprint,47860,7792.0,55652.0,At dealer,False,Available,5TDAAAA50RS002634,John Eagle Sport City Toyota,TX
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS002794,Toyota of Greensboro,NC
2024,Limited FWD,Ruby Flare Pearl,47860,0.0,47860.0,Factory to port,True,Available,5TDAAAA50RS002911,Lakeside Toyota,LA
2024,XLE FWD,Storm Cloud,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS003069,Toyota Place,CA
2024,Limited FWD,Coastal Cream,47860,0.0,47860.0,At dealer,False,DealerHold,5TDAAAA50RS003072,AutoNation Toyota Gulf Freeway,TX
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,Factory to port,False,DealerHold,5TDAAAA50RS003105,Natchez Toyota,MS
2024,Limited FWD,Storm Cloud,47860,2385.0,50245.0,At dealer,False,,5TDAAAA50RS003198,Thousand Oaks Toyota,CA
2024,Limited FWD,Wind Chill Pearl,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS003217,Toyota of Greensboro,NC
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,Factory to port,True,Available,5TDAAAA50RS003234,Walker Toyota,LA
2024,XLE FWD,Midnight Black Metallic,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS003248,Ed Morse Delray Toyota,FL
2024,Limited FWD,Storm Cloud,47860,0.0,47860.0,Factory to port,False,Available,5TDAAAA50RS003279,Ray Brandt Toyota,LA
2024,XLE FWD,Blueprint,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS003301,Jeff Hunter Toyota,TX
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS003377,Eastern Shore Toyota,AL
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,At dealer,False,,5TDAAAA50RS003394,Toyota of Downtown LA,CA
2024,Limited FWD,Midnight Black Metallic,47860,495.0,48355.0,At dealer,False,,5TDAAAA50RS003458,AutoNation Toyota Tempe,AZ
2024,XLE FWD,Wind Chill Pearl,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS003542,Carl Hogan Toyota,MS
2024,Limited FWD,Storm Cloud,47860,0.0,47860.0,At dealer,False,DealerHold,5TDAAAA50RS003573,Mark McLarty Toyota,AR
2024,Limited FWD,Ruby Flare Pearl,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS003587,Hendrick Toyota North Charleston,SC
2024,XLE FWD,Blueprint,43070,0.0,43070.0,At dealer,False,DealerHold,5TDAAAA50RS003640,Right Toyota,AZ
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS003668,Kearny Mesa Toyota,CA
2024,Limited FWD,Wind Chill Pearl,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS003699,Gatorland Toyota,FL
2024,Limited FWD,Celestial Silver Metallic,47860,599.0,48459.0,Factory to port,True,DealerHold,5TDAAAA50RS003735,Landers Toyota,AR
2024,Limited FWD,Ruby Flare Pearl,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS003749,Doral Toyota,FL
2024,XLE FWD,Coastal Cream,43070,4995.0,48065.0,Port to dealer,False,DealerHold,5TDAAAA50RS003752,Toyota of Victoria,TX
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,Port to dealer,False,,5TDAAAA50RS003783,DCH Toyota of Torrance,CA
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,Port to dealer,False,,5TDAAAA50RS003833,Findlay Toyota,NV
2024,Limited FWD,Wind Chill Pearl,47860,1278.0,49138.0,Port to dealer,False,,5TDAAAA50RS003850,AutoNation Toyota Irvine,CA
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS003900,Toyota of Hollywood,FL
2024,XLE FWD,Wind Chill Pearl,43070,0.0,43070.0,Port to dealer,True,,5TDAAAA50RS003914,Avondale Toyota,AZ
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,Port to dealer,True,DealerHold,5TDAAAA50RS003928,Pat Lobb Toyota of McKinney,TX
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,Port to dealer,False,,5TDAAAA50RS003945,Toyota Santa Monica,CA
2024,Limited FWD,Wind Chill Pearl,47860,0.0,47860.0,Port to dealer,False,,5TDAAAA50RS003962,Toyota of Huntington Beach,CA
2024,Limited FWD,Ruby Flare Pearl,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS003976,Toyota of North Miami,FL
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,At dealer,False,DealerHold,5TDAAAA50RS003993,Chatham Parkway Toyota,GA
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,Port to dealer,True,DealerHold,5TDAAAA50RS004013,Don McGill Toyota,TX
2024,Limited FWD,Wind Chill Pearl,47860,0.0,47860.0,Port to dealer,False,,5TDAAAA50RS004027,Toyota of The Desert,CA
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,Port to dealer,True,DealerHold,5TDAAAA50RS004044,Toyota of Ardmore,OK
2024,Limited FWD,Coastal Cream,47860,4995.0,52855.0,Port to dealer,False,Available,5TDAAAA50RS004058,Lithia Toyota of Odessa,TX
2024,Limited FWD,Coastal Cream,47860,0.0,47860.0,At dealer,False,,5TDAAAA50RS004061,AutoNation Toyota Pinellas Park,FL
2024,XLE FWD,Celestial Silver Metallic,43070,499.0,43569.0,Factory to port,False,Available,5TDAAAA50RS004075,Caldwell Toyota,AR
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS004089,Gene Messer Toyota,TX
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,Port to dealer,False,,5TDAAAA50RS004111,Envision Toyota of Norwalk,CA
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,Factory to port,False,Available,5TDAAAA50RS004125,Universal Toyota,TX
2024,XLE FWD,Storm Cloud,43070,0.0,43070.0,Factory to port,True,Available,5TDAAAA50RS004139,Shottenkirk Toyota Weatherford,TX
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,Port to dealer,False,,5TDAAAA50RS004156,Big Two Toyota of Chandler,AZ
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,Factory to port,False,Available,5TDAAAA50RS004190,North Park Toyota of San Antonio,TX
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,Factory to port,False,Available,5TDAAAA50RS004223,Fred Haas Toyota Country,TX
2024,Limited FWD,Storm Cloud,47860,843.0,48703.0,Factory to port,True,DealerHold,5TDAAAA50RS004237,Lake Charles Toyota,LA
2024,Limited FWD,Wind Chill Pearl,47860,0.0,47860.0,Factory to port,False,Available,5TDAAAA50RS004240,I-95 Toyota of Brunswick,GA
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,Factory to port,False,,5TDAAAA50RS004254,Leith Toyota,NC
2024,Limited FWD,Midnight Black Metallic,47860,1599.0,49459.0,Factory to port,True,DealerHold,5TDAAAA50RS004268,Fowler Toyota,OK
2024,Limited FWD,Ruby Flare Pearl,47860,0.0,47860.0,At dealer,False,,5TDAAAA50RS004271,Toyota of Hollywood,FL
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,Factory to port,False,Available,5TDAAAA50RS004285,Gettel Toyota of Lakewood,FL
2024,XLE FWD,Midnight Black Metallic,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS004299,Ed Morse Delray Toyota,FL
2024,XLE FWD,Storm Cloud,43070,0.0,43070.0,Factory to port,True,Available,5TDAAAA50RS004304,Toyota of Del Rio,TX
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS004318,AutoNation Toyota Winter Park,FL
2024,XLE FWD,Storm Cloud,43070,0.0,43070.0,Factory to port,False,,5TDAAAA50RS004321,AutoNation Toyota Weston,FL
2024,XLE FWD,Wind Chill Pearl,43070,0.0,43070.0,Factory to port,False,,5TDAAAA50RS004349,Franklin Toyota,GA
2024,Limited FWD,Storm Cloud,47860,0.0,47860.0,Factory to port,False,,5TDAAAA50RS004352,Courtesy Toyota,FL
2024,XLE FWD,Storm Cloud,43070,0.0,43070.0,Factory to port,False,,5TDAAAA50RS004383,Toyota of Hollywood,FL
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,Factory to port,False,,5TDAAAA50RS004397,Toyota of Clermont,FL
2024,Limited FWD,Celestial Silver Metallic,47860,3490.0,51350.0,Factory to port,False,Available,5TDAAAA50RS004402,Fred Haas Toyota World,TX
2024,XLE FWD,Wind Chill Pearl,43070,0.0,43070.0,Factory to port,False,,5TDAAAA50RS004447,Toyota of Tampa Bay,FL
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,Factory to port,False,Available,5TDAAAA50RS004450,Gettel Toyota of Lakewood,FL
