Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Tundra Limited 4x2,Supersonic Red,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB0PX002714,Loving Toyota,TX
2023,Tundra Limited 4x2,Magnetic Gray Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB0PX002759,Jim Ellis Toyota of McDonough,GA
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB0PX002776,Scott Clark Toyota,NC
2023,Tundra Limited 4x2,Blueprint,56415,3493.0,59908.0,At dealer,False,Available,5TFJC5AB0PX002857,Keating Toyota,TX
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB0PX30E346,Nalley Toyota Stonecrest,GA
2023,Tundra Limited 4x2,Blueprint,56415,1495.0,57910.0,At dealer,False,Available,5TFJC5AB1PX002639,Sterling McCall Toyota,TX
2023,Tundra Limited 4x2,Ice Cap,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB1PX002656,Gray-Daniels Toyota,MS
2023,Tundra Limited 4x2,Blueprint,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB1PX002673,Fred Haas Toyota World,TX
2023,Tundra Limited 4x2,Blueprint,56415,1599.0,58014.0,At dealer,False,Available,5TFJC5AB1PX002687,Silsbee Toyota,TX
2023,Tundra Limited 4x2,Blueprint,56415,0.0,56415.0,At dealer,False,DealerHold,5TFJC5AB1PX002821,Toyota of Dallas,TX
2023,Tundra Limited 4x2,Blueprint,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB1PX002835,Bruner Toyota,TX
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,1098.0,57513.0,At dealer,False,Available,5TFJC5AB2PX002763,Toyota of Cedar Park,TX
2023,Tundra Limited 4x2,Ice Cap,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002889,Heyward Allen Toyota,GA
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002892,Hendrick Toyota North Charleston,SC
2023,Tundra Limited 4x2,Army Green,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002908,Street Toyota,TX
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002911,Scott Clark Toyota,NC
2023,Tundra Limited 4x2,Wind Chill Pearl,56415,1895.0,58310.0,At dealer,False,Available,5TFJC5AB3PX002657,Jim Norton Toyota of Oklahoma City,OK
2023,Tundra Limited 4x2,Wind Chill Pearl,56415,995.0,57410.0,At dealer,False,Available,5TFJC5AB3PX002691,Toyota of Slidell,LA
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,0.0,56415.0,At dealer,False,DealerHold,5TFJC5AB3PX002822,Brownsville Toyota,TX
2023,Tundra Limited 4x2,Blueprint,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB4PX002666,Fred Haas Toyota World,TX
2023,Tundra Limited 4x2,Wind Chill Pearl,56415,0.0,56415.0,At dealer,False,,5TFJC5AB4PX002781,Freeman Toyota,CA
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB4PX002828,Vic Vaughan Toyota of Boerne,TX
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB4PX002859,Joe Myers Toyota,TX
2023,Tundra Limited 4x2,Magnetic Gray Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB5PX002630,Hendrick Toyota Apex,NC
2023,Tundra Limited 4x2,Magnetic Gray Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB5PX002790,Mac Haik Toyota,TX
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB5PX002904,Rick Hendrick Toyota,NC
2023,Tundra Limited 4x2,Magnetic Gray Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB5PX002921,Leith Toyota,NC
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB6PX002782,Toyota of Pharr,TX
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB6PX002877,Toyota of Gastonia,NC
2023,Tundra Limited 4x2,Army Green,56415,1098.0,57513.0,At dealer,False,Available,5TFJC5AB6PX002913,Toyota of Cedar Park,TX
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,DealerHold,5TFJC5AB7PX002614,Heyward Allen Toyota,GA
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB7PX002659,Toyota of Gastonia,NC
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB7PX002709,Town & Country Toyota,NC
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB7PX002788,AutoNation Toyota Gulf Freeway,TX
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB7PX002791,Pat Lobb Toyota of McKinney,TX
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB7PX002936,Scott Clark Toyota,NC
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB8PX002654,TeamOne Toyota of Gadsden,AL
2023,Tundra Limited 4x2,Magnetic Gray Metallic,56415,1995.0,58410.0,At dealer,False,Available,5TFJC5AB8PX002704,Cavender Toyota,TX
2023,Tundra Limited 4x2,Army Green,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB8PX002766,Community Toyota,TX
2023,Tundra Limited 4x2,Blueprint,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB8PX002833,Family Toyota of Burleson,TX
