Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,TRD Sport 4x2,Magnetic Gray Metallic,43015,2980.0,45995.0,At dealer,False,Available,JTEAU5JR0P5299405,Joe Myers Toyota,TX
2023,TRD Sport 4x2,Ice Cap,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR0P5300553,Fred Anderson Toyota of Charleston,SC
2023,TRD Sport 4x2,Midnight Black Metallic,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR0P5301606,Universal Toyota,TX
2023,TRD Sport 4x2,Ice Cap,43015,1695.0,44710.0,At dealer,False,,JTEAU5JR0P5302450,Anderson Toyota,AZ
2023,TRD Sport 4x2,Ice Cap,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR0P5302805,Family Toyota of Burleson,TX
2023,TRD Sport 4x2,Magnetic Gray Metallic,43015,0.0,43015.0,At dealer,False,,JTEAU5JR0P5303016,Findlay Toyota,NV
2023,TRD Sport 4x2,Lunar Rock,43015,0.0,43015.0,Port to dealer,False,,JTEAU5JR0P5303369,David Wilson's Toyota of Las Vegas,NV
2023,TRD Sport 4x2,Lunar Rock,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR0P5303596,Toyota of Pharr,TX
2023,TRD Sport 4x2,Magnetic Gray Metallic,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR0P5303663,Fred Haas Toyota World,TX
2023,TRD Sport 4x2,Lunar Rock,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR0P5303677,Vandergriff Toyota,TX
2023,TRD Sport 4x2,Ice Cap,43015,498.0,43513.0,At dealer,False,Available,JTEAU5JR1P5294620,Don Ringler Toyota,TX
2023,TRD Sport 4x2,Ice Cap,43015,2169.0,45184.0,At dealer,False,Available,JTEAU5JR1P5298974,Poe Toyota,TX
2023,TRD Sport 4x2,Magnetic Gray Metallic,43015,1098.0,44113.0,At dealer,False,Available,JTEAU5JR1P5299560,Toyota of Cedar Park,TX
2023,TRD Sport 4x2,Magnetic Gray Metallic,43015,0.0,43015.0,At dealer,False,,JTEAU5JR1P5301243,Toyota of Gastonia,NC
2023,TRD Sport 4x2,Ice Cap,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR1P5301906,Toyota of Rockwall,TX
2023,TRD Sport 4x2,Lunar Rock,43015,1098.0,44113.0,Factory to port,True,Available,JTEAU5JR1P5302036,Toyota of Cedar Park,TX
2023,TRD Sport 4x2,Classic Silver Metallic,43015,1695.0,44710.0,At dealer,False,,JTEAU5JR1P5302585,Anderson Toyota,AZ
2023,TRD Sport 4x2,Lunar Rock,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR1P5302957,Toyota of Hollywood,FL
2023,TRD Sport 4x2,Lime Rush,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR2P5297672,Fox Toyota of El Paso,TX
2023,TRD Sport 4x2,Midnight Black Metallic,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR2P5298725,Greg Leblanc Toyota,LA
2023,TRD Sport 4x2,Lunar Rock,43015,3999.0,47014.0,Port to dealer,True,Available,JTEAU5JR2P5301123,Ray Brandt Toyota,LA
2023,TRD Sport 4x2,Classic Silver Metallic,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR2P5301283,North Park Toyota of San Antonio,TX
2023,TRD Sport 4x2,Lunar Rock,43015,499.0,43514.0,Factory to port,False,Available,JTEAU5JR2P5301705,Caldwell Toyota,AR
2023,TRD Sport 4x2,Ice Cap,43015,0.0,43015.0,Factory to port,False,DealerHold,JTEAU5JR2P5304409,Camelback Toyota,AZ
2023,TRD Sport 4x2,Classic Silver Metallic,43015,0.0,43015.0,Factory to port,False,,JTEAU5JR2P5304555,Earnhardt Toyota,AZ
2023,TRD Sport 4x2,Ice Cap,43015,0.0,43015.0,Factory to port,False,,JTEAU5JR2P5304796,Earnhardt Toyota,AZ
2023,TRD Sport 4x2,Barcelona Red Metallic,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR3P5292965,Phillips Toyota,FL
2023,TRD Sport 4x2,Classic Silver Metallic,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR3P5298300,Fred Haas Toyota Country,TX
2023,TRD Sport 4x2,Magnetic Gray Metallic,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR3P5299947,Community Toyota,TX
2023,TRD Sport 4x2,Classic Silver Metallic,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR3P5300529,Freeman Toyota,TX
2023,TRD Sport 4x2,Ice Cap,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR3P5301213,Toyota of Dothan,AL
