Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,TRD Sport 4x2,Ice Cap,35915,0.0,35915.0,Port to dealer,False,,3TMAZ5CN0PM206179,CARSON TOYOTA,CA
2023,TRD Off-Road 4x2,Barcelona Red Metallic,36440,0.0,36440.0,At dealer,False,,3TMAZ5CN0PM209891,Heyward Allen Toyota,GA
2023,TRD Off-Road 4x2,Ice Cap,36440,0.0,36440.0,At dealer,False,Available,3TMAZ5CN0PM212550,Panama City Toyota,FL
2023,SR5 4x2,Celestial Silver Metallic,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM212984,Marietta Toyota,GA
2023,SR5 4x2,Celestial Silver Metallic,34980,0.0,34980.0,At dealer,False,DealerHold,3TMAZ5CN0PM214010,Toyota of Kirkland,WA
2023,SR5 4x2,Magnetic Gray Metallic,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM214024,Scott Clark Toyota,NC
2023,TRD Off-Road 4x2,Lunar Rock,36790,0.0,36790.0,At dealer,False,DealerHold,3TMAZ5CN0PM214055,Mojave Toyota of Barstow,CA
2023,SR5 4x2,Blue Crush Metallic,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM214590,AutoNation Toyota Mall of Georgia,GA
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM214606,Lakeside Toyota,LA
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM214718,LaGrange Toyota,GA
2023,SR5 4x2,Black,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM214847,LaGrange Toyota,GA
2023,SR5 4x2,Celestial Silver Metallic,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM214850,Round Rock Toyota,TX
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,Factory to port,False,Available,3TMAZ5CN0PM214864,DeLuca Toyota,FL
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM214993,Eastern Shore Toyota,AL
2023,SR5 4x2,Magnetic Gray Metallic,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM215125,Peter Boulware Toyota,FL
2023,SR5 4x2,Black,34980,0.0,34980.0,Factory to port,False,DealerHold,3TMAZ5CN0PM215173,Atlanta Toyota,GA
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,Factory to port,False,Available,3TMAZ5CN0PM215237,Lowe Toyota of Warner Robins,GA
2023,SR5 4x2,Celestial Silver Metallic,34980,0.0,34980.0,Factory to port,False,Available,3TMAZ5CN0PM215240,Stone Mountain Toyota,GA
2023,SR5 4x2,Magnetic Gray Metallic,34980,3197.0,38177.0,At dealer,False,Available,3TMAZ5CN0PM215254,South Toyota,TX
2023,SR5 4x2,Celestial Silver Metallic,34980,0.0,34980.0,Factory to port,True,Available,3TMAZ5CN0PM215271,Supreme Toyota of Hammond,LA
2023,SR5 4x2,Magnetic Gray Metallic,34980,399.0,35379.0,At dealer,False,Available,3TMAZ5CN0PM215304,Toyota of Paris,TX
2023,SR5 4x2,Ice Cap,34980,1485.0,36465.0,Port to dealer,False,Available,3TMAZ5CN0PM215318,Toyota of Longview,TX
2023,SR5 4x2,Black,34980,1995.0,36975.0,Port to dealer,False,DealerHold,3TMAZ5CN0PM215321,Toyota of Wichita Falls,TX
2023,TRD Sport 4x2,Ice Cap,36765,0.0,36765.0,At dealer,False,,3TMAZ5CN0PM215335,Precision Toyota of Tucson,AZ
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM215349,Toyota of New Orleans,LA
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM215366,AutoNation Toyota Corpus Christi,TX
2023,TRD Off-Road 4x2,Magnetic Gray Metallic,36790,0.0,36790.0,Factory to port,False,Available,3TMAZ5CN0PM215383,Rick Hendrick Toyota,NC
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,Factory to port,False,Available,3TMAZ5CN0PM215397,Bob Tyler Toyota,FL
2023,SR5 4x2,Celestial Silver Metallic,34980,0.0,34980.0,Port to dealer,True,DealerHold,3TMAZ5CN0PM215416,Toyota of Puyallup,WA
2023,SR5 4x2,Ice Cap,34980,2169.0,37149.0,At dealer,False,Available,3TMAZ5CN0PM215433,Poe Toyota,TX
2023,TRD Off-Road 4x2,Black,36790,0.0,36790.0,Factory to port,False,Available,3TMAZ5CN0PM215464,North Georgia Toyota,GA
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,Port to dealer,False,Available,3TMAZ5CN0PM215500,North Park Toyota of San Antonio,TX
2023,SR5 4x2,Blue Crush Metallic,34980,1295.0,36275.0,At dealer,False,Available,3TMAZ5CN0PM215528,Fred Haas Toyota Country,TX
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,DealerHold,3TMAZ5CN0PM215531,Post Oak Toyota,OK
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM215545,Don McGill Toyota,TX
2023,SR5 4x2,Celestial Silver Metallic,34980,0.0,34980.0,Factory to port,False,Available,3TMAZ5CN0PM215593,Toyota of Hattiesburg,MS
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,Factory to port,False,Available,3TMAZ5CN0PM215612,Mac Haik Toyota,TX
2023,TRD Sport 4x2,Celestial Silver Metallic,36765,0.0,36765.0,Factory to port,False,Available,3TMAZ5CN0PM215626,Peter Boulware Toyota,FL
2023,TRD Off-Road 4x2,Magnetic Gray Metallic,36790,0.0,36790.0,Factory to port,False,Available,3TMAZ5CN0PM215657,Toyota of Gastonia,NC
2023,TRD Sport 4x2,Ice Cap,36765,0.0,36765.0,At dealer,False,,3TMAZ5CN0PM215691,Findlay Toyota,NV
